Grid_Id,Grid_center_x,Grid_center_y,
151,121.486168527,31.2157598902,
152,121.493799271,31.2128320911,
153,121.485470504,31.2103796024,
154,121.47873877,31.2109178307,
155,121.493819765,31.2127019799,
156,121.479074916,31.2107741011,
157,121.490191925,31.2110875083,
158,121.50179466,31.2175197413,
159,121.498378109,31.2166672641,
160,121.4916134,31.2112487863,
161,121.483527634,31.20988482,
162,121.479906597,31.2093901552,
163,121.499341437,31.2163543392,
164,121.495876693,31.2155209243,
165,121.481639387,31.2093059356,
166,121.489537292,31.2126114226,
167,121.481244,31.2150233012,
168,121.501963602,31.2172223871,
169,121.492380559,31.2170080631,
170,121.502029324,31.2169286124,
171,121.492763132,31.2170885788,
172,121.486613182,31.2117171478,
173,121.485983778,31.2128509446,
174,121.48630686,31.2126505374,
175,121.482217146,31.2122623096,
176,121.482566105,31.2109802743,
177,121.490214573,31.2161978131,
178,121.491677559,31.2131338872,
179,121.477853137,31.2132747953,
180,121.484622728,31.2148659985,
181,121.495798279,31.2139452972,
182,121.495560433,31.2170952244,
183,121.491112834,31.2169702622,
184,121.495844688,31.217043455,
185,121.496050808,31.2154793826,
186,121.48990554,31.2161800469,
187,121.489031677,31.2111976462,
188,121.480739128,31.211469359,
189,121.477558317,31.2131635296,
190,121.485255538,31.2140374978,
191,121.493921585,31.2131834576,
192,121.477738601,31.2122872609,
193,121.494260064,31.2171516782,
194,121.486060993,31.2105539298,
195,121.486380453,31.2106946275,
196,121.498060083,31.2136937127,
197,121.479507428,31.2135817324,
198,121.5020033,31.21708333,
199,121.491741794,31.2161509677,
200,121.490512692,31.216178919,
201,121.498382894,31.2134784665,
202,121.49128764,31.2145013415,
203,121.484506302,31.2101114997,
204,121.499509743,31.2130051324,
205,121.491315377,31.2151984621,
206,121.480543794,31.2114178376,
207,121.48809535,31.2170934459,
208,121.502488807,31.2166024304,
209,121.496612871,31.2146329395,
210,121.488157326,31.2169344206,
211,121.481752434,31.2119483696,
212,121.4885242,31.2155160225,
213,121.496168925,31.2126321175,
214,121.485152897,31.2142421387,
215,121.48888571,31.2162964567,
216,121.485375866,31.2139790624,
217,121.493423557,31.211287196,
218,121.478668441,31.2109614101,
219,121.500630764,31.2139328175,
220,121.489897128,31.2111076021,
221,121.492101247,31.2161414559,
222,121.483896214,31.2141540977,
223,121.496794592,31.2145722241,
224,121.494870019,31.2134199248,
225,121.485764202,31.2144408907,
226,121.498650444,31.2133454655,
227,121.491581479,31.213492992,
228,121.487932613,31.2146590587,
229,121.489248914,31.2147113986,
230,121.481410005,31.2092617759,
231,121.489371505,31.2115024586,
232,121.481162391,31.2155156373,
233,121.50149101,31.2188352442,
234,121.48607029,31.2143416843,
235,121.500805617,31.2140673527,
236,121.479297969,31.2102780476,
237,121.501118874,31.2143249037,
238,121.486941984,31.2108084073,
239,121.48246,31.21108,
240,121.485639679,31.2135839986,
241,121.491694445,31.2128775731,
242,121.4906392,31.21493833,
243,121.491602167,31.211454277,
244,121.495570307,31.2137211426,
245,121.480051332,31.2090866846,
246,121.499742682,31.2162520467,
247,121.495238811,31.2156326925,
248,121.47741868,31.2131314041,
249,121.496754834,31.2170174473,
250,121.488615286,31.2146136356,
251,121.489600054,31.2111095322,
252,121.48133787,31.2145683876,
253,121.485362223,31.2130015648,
254,121.502061,31.2153521976,
255,121.485928757,31.2126760257,
256,121.48684094,31.2111945693,
257,121.494289199,31.2158134554,
258,121.497894752,31.213817317,
259,121.486354026,31.2120705615,
260,121.495548781,31.2170519576,
261,121.489883215,31.2162916881,
262,121.494941132,31.2171105528,
263,121.483553638,31.2124269813,
264,121.482957665,31.2122857616,
265,121.490536864,31.2170390496,
266,121.495330144,31.2170743811,
267,121.492068432,31.2151008397,
268,121.495796158,31.2131364137,
269,121.484466222,31.2126951515,
270,121.499644411,31.2131198555,
271,121.480460694,31.2089879,
272,121.479786139,31.2134846707,
273,121.488323431,31.2161483311,
274,121.484845278,31.214270616,
275,121.481717771,31.2119033441,
276,121.500134162,31.2135265408,
277,121.488606978,31.2163328205,
278,121.481993558,31.2094188038,
279,121.49364932,31.2172595619,
280,121.49242918,31.2150449092,
281,121.478299076,31.2113560757,
282,121.492767276,31.2148272373,
283,121.489574659,31.2171978781,
284,121.493028814,31.2145231625,
285,121.486813544,31.2159446807,
286,121.483253751,31.214042824,
287,121.482652695,31.2107513613,
288,121.48357335,31.214139796,
289,121.482951702,31.2098991172,
290,121.50030096,31.2136633862,
291,121.491205913,31.2149802961,
292,121.491302961,31.2146793184,
293,121.488134275,31.216787265,
294,121.502414237,31.2172112072,
295,121.495897481,31.2129279126,
296,121.481650844,31.2137730629,
297,121.480431673,31.2137003775,
298,121.481949364,31.2119012031,
299,121.480893947,31.2161675168,
300,121.485581124,31.2134635161,
301,121.499870445,31.2162530137,
302,121.483924093,31.2100707459,
303,121.493662415,31.2120650118,
304,121.494578939,31.2133538437,
305,121.477679262,31.2133384818,
306,121.479494474,31.2101777894,
307,121.483612597,31.2140685772,
308,121.482320832,31.2139307883,
309,121.487378153,31.2146555521,
310,121.484121245,31.2155781724,
311,121.491617031,31.2115426506,
312,121.499633949,31.2162874914,
313,121.48188465,31.2130967682,
314,121.485413592,31.2154276157,
315,121.4979299,31.21681336,
316,121.489153114,31.2111198427,
317,121.480950344,31.2160841761,
318,121.5014,31.218195,
319,121.485146089,31.2102710965,
320,121.489528654,31.2123361521,
321,121.501943212,31.2153011118,
322,121.493592623,31.2118099964,
323,121.499950775,31.2133781607,
